accession,species,ncbi_organism_name
GCA_022600605.1,Mycobacterium sp022600605,Actinomycetes bacterium
GCA_022600695.1,Mycobacterium sp022600695,Actinomycetes bacterium
GCA_022601135.1,Mycobacterium sp022601135,Actinomycetes bacterium
GCA_022600875.1,Mycobacterium sp022601135,Actinomycetes bacterium
GCA_022600635.1,Mycobacterium sp022601135,Actinomycetes bacterium
GCA_022600855.1,Mycobacterium sp022601275,Actinomycetes bacterium
GCA_022601275.1,Mycobacterium sp022601275,Actinomycetes bacterium
GCA_022600415.1,Mycobacterium sp022601275,Actinomycetes bacterium
GCA_022708865.1,Mycobacterium sp022708865,Acidobacteriota bacterium
GCA_022841565.1,Mycobacterium sp022841565,Mycobacterium sp.
GCA_023264735.1,Mycobacterium sp023264735,Mycobacterium sp.
GCA_023264755.1,Mycobacterium sp023264755,Mycobacterium sp.
GCA_023264765.1,Mycobacterium sp023264765,Mycobacterium sp.
GCA_023404955.1,Mycobacterium sp023404955,Actinomycetes bacterium
GCA_023415515.1,Mycobacterium sp023415515,Actinomycetes bacterium
GCA_023416315.1,Mycobacterium sp023416315,Actinomycetes bacterium
GCA_023460175.1,Mycobacterium sp023460175,Actinomycetes bacterium
GCF_024320865.1,Mycobacterium sp024320865,Mycolicibacterium sp. CAU 1645
GCF_025263265.1,Mycobacterium sp025263265,Mycobacterium sp. SMC-4
GCF_025263485.1,Mycobacterium sp025263485,Mycobacterium sp. SMC-2
GCF_025263565.1,Mycobacterium sp025263565,Mycobacterium sp. SMC-8
GCF_025345615.1,Mycobacterium sp025345615,Mycobacterium sp. CPCC 205710
GCF_025928815.1,Mycobacterium sp025933915,Mycobacterium sp.
GCF_025934845.1,Mycobacterium sp025933915,Mycobacterium sp.
GCF_025925315.1,Mycobacterium sp025933915,Mycobacterium sp.
GCF_025937055.1,Mycobacterium sp025933915,Mycobacterium sp.
GCF_025933915.1,Mycobacterium sp025933915,Mycobacterium sp.
GCF_025935865.1,Mycobacterium sp025933915,Mycobacterium sp.
GCA_025963195.1,Mycobacterium sp025963195,Mycobacterium sp.
GCA_025963385.1,Mycobacterium sp025963385,Mycobacterium sp.
GCA_025963165.1,Mycobacterium sp025965555,Mycobacterium sp.
GCA_025965555.1,Mycobacterium sp025965555,Mycobacterium sp.
GCA_025965815.1,Mycobacterium sp025965815,Mycobacterium sp.
GCF_025965855.1,Mycobacterium sp025965855,Mycobacterium sp.
GCA_025965895.1,Mycobacterium sp025965895,Mycobacterium sp.
GCA_025965975.1,Mycobacterium sp025965975,Mycobacterium sp.
GCA_025966225.1,Mycobacterium sp025966225,Mycobacterium sp.
GCF_026240945.1,Mycobacterium sp026240945,Mycolicibacterium sp. J2
GCF_026242035.1,Mycobacterium sp026242045,Mycobacterium sp. CVI_P3
GCF_026242045.1,Mycobacterium sp026242045,Mycobacterium sp. CVI_P4
GCA_026393245.1,Mycobacterium sp026393245,Mycobacterium sp.
GCF_026625985.1,Mycobacterium sp026625985,Mycobacterium sp. Aquia_213
GCF_026723865.1,Mycobacterium sp026723865,Mycobacterium sp. Aquia_216
GCF_027706845.1,Mycobacterium sp027706845,Mycolicibacterium sp. BiH015
GCA_028706695.1,Mycobacterium sp028706695,Mycobacterium sp.
GCA_029256565.1,Mycobacterium sp029256565,Mycobacterium sp.
GCF_029623955.1,Mycobacterium sp029623955,Mycobacterium sp. 236(2023)
GCA_029780675.1,Mycobacterium sp029780675,Actinomycetes bacterium
GCF_029892685.1,Mycobacterium sp029892685,Mycobacterium sp. OTB74
GCF_029961025.1,Mycobacterium sp029961025,Mycobacterium sp.
GCA_029977845.1,Mycobacterium sp029977845,Mycobacteriaceae bacterium
GCA_029979305.1,Mycobacterium sp029979305,Mycobacteriaceae bacterium
GCF_026501225.1,Mycobacterium sp030209435,Mycolicibacterium mucogenicum
GCF_030209435.1,Mycobacterium sp030209435,Mycolicibacterium sp. lyk4-40-TYG-92
GCF_030252325.1,Mycobacterium sp030252325,Mycobacterium sp. 'wuenschmanii'
GCF_030161295.1,Mycobacterium sp030295745,Mycolicibacterium sp. TUM20984
GCF_030161275.1,Mycobacterium sp030295745,Mycolicibacterium sp. TUM20983
GCF_030295745.1,Mycobacterium sp030295745,Mycolicibacterium sp. TUM20985
GCF_030486405.1,Mycobacterium sp030486405,Mycolicibacterium sp. HK-90
GCA_030666145.1,Mycobacterium sp030666145,Mycolicibacterium sp.
GCA_030836785.1,Mycobacterium sp030836785,Actinomycetota bacterium
GCA_031292665.1,Mycobacterium sp031292665,Mycobacterium sp.
GCA_031292695.1,Mycobacterium sp031292695,Mycobacterium sp.
GCA_900078375.1,Mycobacterium sp900078375,uncultured Mycobacterium sp.
GCF_900240945.1,Mycobacterium sp900240945,Mycobacterium sp. 3519A
GCF_900240975.1,Mycobacterium sp900240975,Mycobacterium sp. 4858
GCF_001667785.1,Mycobacterium sp900240975,Mycobacterium sp. E3247
GCF_001668695.1,Mycobacterium sp900240975,Mycobacterium sp. E2497
GCF_902652685.1,Mycobacterium sp902652685,Mycobacterium sp. Marseille-P9652
GCA_902826815.1,Mycobacterium sp902826815,uncultured Mycobacteriaceae bacterium
GCA_903862565.1,Mycobacterium sp903862565,uncultured Actinomycetes bacterium
GCA_903905015.1,Mycobacterium sp903877095,uncultured Actinomycetes bacterium
GCA_903877095.1,Mycobacterium sp903877095,uncultured Actinomycetes bacterium
GCA_903847345.1,Mycobacterium sp903877095,uncultured Actinomycetes bacterium
GCA_903855435.1,Mycobacterium sp903877095,uncultured Actinomycetes bacterium
GCA_903884065.1,Mycobacterium sp903884065,uncultured Actinomycetes bacterium
GCA_903938805.1,Mycobacterium sp903884065,uncultured Actinomycetes bacterium
GCA_947441565.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_903911165.1,Mycobacterium sp903911165,uncultured Actinomycetes bacterium
GCA_945863195.1,Mycobacterium sp903911165,Bifidobacterium breve
GCA_947440825.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_945869945.1,Mycobacterium sp903911165,Bifidobacterium breve
GCA_947505625.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_945864035.1,Mycobacterium sp903911165,Bifidobacterium breve
GCA_947490985.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_945860345.1,Mycobacterium sp903911165,Bifidobacterium breve
GCA_945865655.1,Mycobacterium sp903911165,Bifidobacterium breve
GCA_945871255.1,Mycobacterium sp903911165,Bifidobacterium breve
GCA_947501925.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_947489285.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_947488125.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_947499995.1,Mycobacterium sp903911165,Actinomycetota bacterium
GCA_026393235.1,Mycobacterium sp903911165,Mycobacterium sp.
GCA_903828065.1,Mycobacterium sp903927745,uncultured Mycobacteriaceae bacterium
GCA_903927745.1,Mycobacterium sp903927745,uncultured Mycobacteriaceae bacterium
GCA_903903875.1,Mycobacterium sp903927745,uncultured Mycobacteriaceae bacterium
GCF_937941905.1,Mycobacterium sp937941905,uncultured Mycolicibacterium sp.
GCA_943331415.1,Mycobacterium sp943331415,Bifidobacterium breve
GCA_945882475.1,Mycobacterium sp945882475,Bifidobacterium breve
GCA_945897705.1,Mycobacterium sp945897705,Bifidobacterium breve
GCA_945957405.1,Mycobacterium sp945957405,uncultured Mycolicibacterium sp.
GCF_963378075.1,Mycobacterium sp963378075,Mycolicibacter sp. MU0083
GCF_963378095.1,Mycobacterium sp963378095,Mycolicibacterium sp. MU0053
GCF_963378105.1,Mycobacterium sp963378105,Mycolicibacter sp. MU0103
GCF_025821515.1,Mycobacterium sphagni,Mycolicibacterium sphagni
GCF_002250655.1,Mycobacterium sphagni,Mycolicibacterium sphagni
GCF_018278905.1,Mycobacterium spongiae,Mycobacterium spongiae
GCF_003719305.1,Mycobacterium stellerae,Mycolicibacterium stellerae
GCF_002356335.1,Mycobacterium stephanolepidis,[Mycobacterium] stephanolepidis
GCF_010731715.1,Mycobacterium stomatepiae,Mycobacterium stomatepiae
GCF_025821785.1,Mycobacterium stomatepiae,Mycobacterium stomatepiae
GCF_001942625.1,Mycobacterium syngnathidarum,Mycobacterium syngnathidarum
GCA_001756795.1,Mycobacterium syngnathidarum,Mycolicibacterium sp. (ex Dasyatis americana)
GCF_022348025.1,Mycobacterium syngnathidarum,Mycobacterium sp. CnD-18-1
GCF_001853525.1,Mycobacterium syngnathidarum,Mycobacterium syngnathidarum
GCF_005924235.1,Mycobacterium syngnathidarum,Mycobacterium sp. DBP42
GCF_002116635.1,Mycobacterium szulgai,Mycobacterium szulgai
GCF_025821385.1,Mycobacterium szulgai,Mycobacterium szulgai
GCF_001854525.1,Mycobacterium talmoniae,Mycobacterium talmoniae
GCA_004354905.1,Mycobacterium talmoniae,Mycobacterium eburneum
GCA_002967005.1,Mycobacterium talmoniae,Mycobacterium talmoniae
GCF_025822005.1,Mycobacterium terrae,Mycolicibacter terrae
GCF_900187145.1,Mycobacterium terrae,Mycolicibacter terrae
GCF_010727125.1,Mycobacterium terrae,Mycolicibacter terrae
GCF_002101955.1,Mycobacterium terrae,Mycolicibacter terrae
GCF_900157385.1,Mycobacterium terramassiliense,Mycobacterium terramassiliense
GCF_025822325.1,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile
GCF_900187065.1,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile
GCF_000234585.1,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile ATCC 19527
GCA_937975605.1,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile
GCF_001570505.1,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile
GCF_902168065.1,Mycobacterium tilburgii,Mycobacterium tilburgii
GCF_900453365.1,Mycobacterium tokaiense,Mycolicibacterium tokaiense
GCF_025821705.1,Mycobacterium tokaiense,Mycolicibacterium tokaiense
GCF_025822305.1,Mycobacterium tokaiense,Mycolicibacterium murale
GCA_001695755.1,Mycobacterium tokaiense,Mycobacterium sp. djl-10
GCF_010725885.1,Mycobacterium tokaiense,Mycolicibacterium tokaiense
GCF_010722995.1,Mycobacterium tokaiense,Mycolicibacterium murale
GCF_000689255.1,Mycobacterium triplex,Mycobacterium triplex
GCF_002102415.1,Mycobacterium triplex,Mycobacterium triplex
GCF_025821865.1,Mycobacterium triviale,Mycolicibacillus trivialis
GCF_002102395.1,Mycobacterium triviale,Mycolicibacillus trivialis
GCF_004108595.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000664045.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M1973
GCF_002131765.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001385855.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001997465.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis 1821ADB35
GCF_001944935.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004108455.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_007859475.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001848855.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001851275.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000672455.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_02_0067
GCF_000669835.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis 36361
GCF_001948215.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900121205.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000675795.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TB_RSA127
GCF_001843435.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001141625.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001207985.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001948545.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000665025.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M2440
GCF_001852275.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900124345.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003395515.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000654075.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_04_0107
GCF_900123805.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001848815.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCA_000736155.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900123245.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000679475.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis BTB12-162
GCF_000661365.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK-01-0066
GCF_001844905.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000656955.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_04_0149
GCF_001350555.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001397555.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004112565.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001848175.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001389495.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000463175.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis variant bovis BCG str. Frappier
GCF_001943425.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000672695.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_03_0036
GCF_001380275.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000655035.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M1295
GCF_014899525.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000675355.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TB_RSA102
GCF_001845925.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900120935.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_025447495.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004112195.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001998545.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TRS8
GCF_000672515.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_03_0022
GCF_000654955.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M1287
GCF_000668515.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis UT0053
GCF_001211465.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCA_019661285.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004106185.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000656715.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_04_0126
GCF_001841895.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003395035.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000443365.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis PanR0208
GCF_000445345.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis PanR0603
GCF_016917775.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000675655.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TB_RSA120
GCF_001943195.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004113425.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000674855.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis UT0024
GCF_000982795.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001944045.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000680015.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis XTB13-091
GCF_002447355.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_002129025.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001382475.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001852305.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004105095.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000660805.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK-01-0037
GCF_000667125.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis MAL020146
GCF_008761935.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001947305.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000660325.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK-01-0005
GCF_000674895.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TB_RSA79
GCF_030246455.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001385075.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001377195.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000664105.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M1979
GCF_000443915.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis PanR0305
GCF_001201055.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900121315.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCA_030568995.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000678755.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis BTB10-120
GCF_004105805.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001720305.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_024651505.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000650535.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis MD17888
GCF_900123365.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003398045.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_007922995.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis variant bovis
GCF_003395955.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001386555.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_020684725.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000154605.2,Mycobacterium tuberculosis,Mycobacterium tuberculosis KZN 605
GCF_001395875.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003396905.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001946485.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001846885.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000224435.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis CTRI-2
GCF_001948445.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCA_030574615.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900120465.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000673115.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_04_0048
GCF_001204695.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001377355.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003393425.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001377275.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001844805.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001377635.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000674575.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis KT-0110
GCF_001852525.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001387495.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001392555.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000804055.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001385755.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900120995.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001947275.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_024651485.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000664465.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M2136
GCF_004111835.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000656175.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis XTB13-249
GCF_001844945.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000328825.1,Mycobacterium tuberculosis,Mycobacterium canettii CIPT 140070017
GCF_001852535.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003396755.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001327635.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001375915.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000655475.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis XTB13-204
GCF_900120845.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001379095.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004106335.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001841805.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000665845.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis T92
GCF_023864845.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000681275.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis XTB13-177
GCF_000669415.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis KT-0029
GCF_900124355.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_023864325.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_006379125.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001381135.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001350655.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900122625.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000665465.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis H3004
GCF_001847285.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001325265.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001381255.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001943995.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_014900965.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001944455.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004114145.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000654655.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M1210
GCA_009823635.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001318865.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900124125.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003394535.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001322185.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_030242625.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000650995.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis MD13874
GCF_001842375.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_020683805.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000672415.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK_02_0073
GCF_001842265.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001200555.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003311705.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001385135.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001350775.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001841425.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001851345.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001849395.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000658335.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis M1029
GCF_000674115.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis KT-0070
GCF_000667565.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis MAL020195
GCF_900123165.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001392055.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_025916385.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003546425.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000364945.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis SP21
GCF_004106075.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001385895.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000803735.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001389155.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001397995.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001840745.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_020684005.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001207945.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001947385.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001944695.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_002447075.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001384015.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_002129585.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_004110255.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCA_001201495.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000673655.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis KT-0014
GCF_001323725.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_014900195.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000666305.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis variant africanum MAL010081
GCF_000658435.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis 2485AR
GCF_001841605.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_002130695.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001209665.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900121075.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000803945.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001382655.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001381235.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_020684445.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_000660545.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis TKK-01-0018
GCF_001849525.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001211425.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001946345.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001846395.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCA_000709975.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003399195.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_900122875.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_003396785.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_001345235.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
GCF_022871125.1,Mycobacterium tuberculosis,Mycobacterium tuberculosis
